time,ax,ay,az,aT
0.0040,-0.5076,-0.2454,-0.2490,0.616
0.0060,-0.1173,0.2752,1.3013,1.335
0.0080,0.0114,-0.6306,0.3460,0.719
0.0190,-0.4323,-0.7868,-0.3854,0.977
0.0340,-0.6198,-0.4897,0.0300,0.790
0.0350,-0.5081,0.1925,-0.2141,0.584
0.0530,0.5671,1.0772,-0.0153,1.217
0.0710,-0.1315,-0.3070,-0.0057,0.334
0.0710,-0.1287,-0.4138,0.7425,0.860
0.0720,-0.1306,-0.1256,0.1763,0.253
0.0870,0.0803,0.6522,-0.4665,0.806
0.1070,0.6027,0.7466,0.0124,0.960
0.1090,0.3332,0.3649,-0.1815,0.526
0.1210,0.3141,-0.4894,0.3608,0.684
0.1230,-0.1952,-0.8518,0.1476,0.886
0.1370,-0.5187,0.5486,0.0913,0.760
0.1540,0.0610,0.8596,0.4182,0.958
0.1570,-0.4509,-0.1601,-0.4413,0.651
0.1710,0.1772,-1.0941,1.1246,1.579
0.1730,-0.5935,-0.7919,-1.4983,1.796
0.1890,0.1053,0.7293,0.2375,0.774
0.2040,0.3741,0.8752,-0.3814,1.025
0.2070,0.5973,0.6869,0.5596,1.068
0.2210,0.2272,-0.2730,0.6015,0.699
0.2220,0.0935,0.1907,-0.6112,0.647
0.2380,0.2065,0.7678,0.3512,0.869
0.2560,0.4977,0.8552,0.5907,1.152
0.2570,0.6591,0.1742,0.4231,0.802
0.2710,-0.3212,-0.6711,-0.3060,0.805
0.2730,-0.2826,-0.1678,-0.5874,0.673
0.2890,-0.1079,0.1039,1.1233,1.133
0.3090,-0.2020,0.5038,-0.5754,0.791
0.3120,-0.1877,-0.1201,-0.8052,0.835
0.3140,-0.2173,-0.6856,-0.5203,0.888
0.3220,0.5197,-0.5512,0.4290,0.871
0.3320,-0.4290,0.4991,0.8169,1.049
0.3410,0.2238,1.0116,0.4697,1.138
0.3520,0.5579,0.4373,0.0329,0.710
0.3610,0.0248,-0.6753,-0.3837,0.777
0.3870,0.7533,-0.4721,-0.1287,0.898
0.3890,0.1220,0.4418,0.7295,0.862
0.3920,0.5514,0.9236,-0.3503,1.131
0.4010,0.3338,0.5943,-0.3048,0.747
0.4120,0.1351,-0.4482,-0.6448,0.797
0.4230,0.0809,-0.4723,-0.0367,0.481
0.4320,0.2607,0.4175,-0.8831,1.011
0.4420,0.4539,0.8903,0.1177,1.006
0.4520,0.3140,-0.5252,-0.1768,0.637
0.4610,-0.6569,-0.7974,-0.1002,1.038
0.4750,-0.6264,-0.5092,-0.4618,0.930
0.4810,-0.0041,-0.3082,-0.4965,0.584
0.4930,0.5986,0.3085,1.0262,1.227
0.5000,-0.8009,-0.6252,-1.3477,1.688
0.5130,-0.9996,-1.1165,-1.1813,1.908
0.5240,-0.4123,-0.6544,-0.2417,0.810
0.5330,-0.1801,-0.3991,1.1960,1.274
0.5570,0.8001,0.5936,0.1389,1.006
0.5610,-0.5988,-0.7947,-0.6944,1.213
0.5630,-0.8762,-1.0121,-0.5088,1.432
0.5900,-0.3049,-0.4826,-0.2478,0.622
0.5930,0.5985,0.1120,0.5722,0.836
0.5960,0.3083,0.1902,1.0355,1.097
0.6040,0.2804,-0.0554,0.1041,0.304
0.6230,-0.2702,-0.4749,-0.6369,0.839
0.6260,0.1890,0.1487,0.4214,0.485
0.6320,0.4877,0.6874,0.8930,1.228
0.6460,0.4914,0.7825,-0.2311,0.952
0.6520,0.1199,-0.3140,0.0621,0.342
0.6600,-0.0671,-0.8209,-0.3138,0.881
0.6880,-0.6760,-0.4657,-0.4311,0.927
0.6890,-0.1745,0.2502,-0.3485,0.463
0.6920,0.0427,0.0436,0.2680,0.275
0.7010,0.2053,-0.4369,-0.0481,0.485
0.7250,-0.0762,-0.5940,-0.4922,0.775
0.7270,-0.8565,-0.7813,0.1423,1.168
0.7320,0.0129,0.5912,-0.0887,0.598
0.7420,-0.0064,0.6287,1.3119,1.455
0.7520,1.1179,0.3680,-0.2335,1.200
0.7770,0.1520,-0.6652,-0.4993,0.846
0.7820,-0.6988,-1.2283,-0.6741,1.566
0.7850,-0.3650,0.5872,-0.4574,0.829
0.8070,0.6997,1.0165,-0.6034,1.374
0.8080,0.8678,0.3235,1.5262,1.785
0.8120,-0.3046,0.0382,-2.0149,2.038
0.8320,-1.0700,-0.4014,-0.1032,1.147
0.8330,-0.1338,0.6821,-0.1151,0.705
0.8460,0.2026,0.9191,0.0118,0.941
0.8550,-0.4029,-0.4885,-0.1641,0.654
0.8610,-0.5377,-0.5942,-0.0994,0.808
0.8730,-0.9131,-0.3125,-0.4561,1.067
0.8810,0.0575,0.4172,0.1030,0.434
0.8940,0.8535,0.5997,0.6765,1.243
0.9170,0.3453,-0.2136,0.1534,0.434
0.9220,-0.0310,-0.4356,0.3749,0.576
0.9240,-0.1640,-0.1146,-0.2141,0.293
0.9320,-0.1194,0.8363,0.0516,0.846
0.9420,0.3911,1.0429,0.2444,1.140
0.9520,0.9841,0.6096,-0.0633,1.159
0.9610,0.0283,-0.4443,0.8728,0.980
0.9760,0.2176,-0.0256,-1.6699,1.684
1.0000,-0.3120,0.6294,-0.2872,0.759
1.0000,-0.2292,0.9949,-0.2860,1.060
1.0010,0.6495,0.4520,-0.4499,0.910
1.0120,0.1705,-0.0270,0.8070,0.825
1.0210,0.1831,0.4020,-1.5166,1.580
1.0310,-0.4553,0.2817,-0.6773,0.863
1.0410,0.0350,0.5728,-0.7180,0.919
1.0530,0.1613,-0.5409,-0.0547,0.567
1.0610,-0.5283,-0.8056,-0.9417,1.347
1.0750,-0.0923,-0.0408,-1.2961,1.300
1.0810,-0.2791,0.4859,-0.6281,0.842
1.1060,0.1880,0.8034,-0.0163,0.825
1.1100,0.3941,-0.5330,-0.2557,0.710
1.1140,-0.1563,-0.6437,-0.8362,1.067
1.1250,-0.1382,-0.4162,-0.0797,0.446
1.1320,0.5291,0.9093,0.9953,1.448
1.1430,0.3593,0.9742,-0.2293,1.063
1.1520,0.5938,-0.1930,0.2986,0.692
1.1620,1.0229,-0.4967,0.1466,1.147
1.1800,0.0635,-0.3367,0.4074,0.532
1.1830,-0.2966,0.6493,-1.5595,1.715
1.2110,-0.2810,0.4248,-0.4067,0.652
1.2140,-0.0560,0.5620,-0.5790,0.809
1.2150,-0.4293,-0.4419,-1.1680,1.320
1.2240,-0.1658,-1.0276,1.0886,1.506
1.2330,0.0209,0.2977,-1.3679,1.400
1.2410,-0.0667,0.2422,0.9233,0.957
1.2520,0.3423,0.1555,-1.1691,1.228
1.2620,0.2009,-0.7119,0.6301,0.972
1.2800,-0.1205,-0.2400,-0.0762,0.279
1.2840,0.1620,0.5812,-0.7442,0.958
1.3060,0.7159,0.6793,-0.0906,0.991
1.3080,0.3665,-0.3876,-0.2558,0.592
1.3120,-0.2106,-0.7480,-0.8903,1.182
1.3230,-0.5086,-0.2406,-0.5611,0.795
1.3310,0.6010,0.4122,0.4085,0.835
1.3440,0.1775,0.9761,-0.2009,1.012
1.3520,0.2829,-0.1986,0.1415,0.373
1.3620,-0.3530,-0.6107,-0.6139,0.935
1.3890,0.2291,-0.4750,0.1643,0.552
1.3920,0.7974,0.7993,1.8186,2.141
1.4130,0.0595,0.9530,0.1055,0.961
1.4140,-0.1653,-0.3594,-0.3960,0.560
1.4150,-1.1868,-0.9417,-0.5887,1.625
1.4230,-0.3630,-0.8151,-0.5133,1.029
1.4320,0.3211,-0.3345,2.0533,2.105
1.4420,0.3196,-0.3301,2.0532,2.104
1.4520,0.3856,-0.0526,0.8309,0.918
1.4620,-0.1391,-0.8294,-0.7409,1.121
1.4820,-0.6252,-1.0141,0.7363,1.400
1.4850,0.3056,0.3956,0.0167,0.500
1.5130,-0.0073,-0.0403,0.2860,0.289
1.5160,-0.0305,-0.4952,0.0238,0.497
1.5170,0.0274,-0.5078,0.1854,0.541
1.5210,-0.3455,0.1611,0.0333,0.383
1.5320,0.1451,0.7894,0.1207,0.812
1.5410,0.5920,0.3960,0.6258,0.948
1.5510,0.2523,0.1525,0.5360,0.612
1.5610,-1.0468,-0.4660,-1.7708,2.109
1.5790,-0.9402,-0.6954,-1.1327,1.628
1.5820,-0.1230,0.4547,-0.0014,0.471
1.6060,0.7983,0.2209,0.6379,1.045
1.6080,-0.3935,-0.5376,1.1550,1.333
1.6120,-0.3542,-0.6671,-0.6467,0.994
1.6210,-0.7975,-0.3926,-0.2133,0.914
1.6320,-0.4568,0.1503,0.6786,0.832
1.6410,0.2489,0.0730,1.6890,1.709
1.6520,0.1226,0.0504,-0.8465,0.857
1.6610,-0.8622,-1.0761,-0.2910,1.409
1.6780,-0.4234,0.2813,-0.7506,0.907
1.6810,-0.1231,0.6449,0.0886,0.662
1.7080,0.4425,0.8278,0.9231,1.316
1.7100,0.0294,0.0721,-0.0921,0.121
1.7120,-0.9022,-1.0672,0.0851,1.400
1.7210,-0.7031,-0.6602,-0.2524,0.997
1.7330,0.7788,0.8592,0.7521,1.382
1.7440,0.5118,1.0185,0.8000,1.393
1.7520,0.4464,0.3473,0.1644,0.589
1.7610,0.0611,-0.8589,0.7546,1.145
1.7790,-0.3084,-0.4269,-1.4266,1.521
1.7820,-0.7537,0.0826,-0.6449,0.995
1.8020,0.0409,0.7739,0.3105,0.835
1.8030,0.4998,-0.1436,0.6002,0.794
1.8110,0.2876,-0.4418,1.3471,1.447
1.8200,-0.0793,-0.6428,-1.2350,1.395
1.8320,-0.5012,-0.3011,-0.8830,1.059
1.8410,0.3509,0.9383,-0.2713,1.038
1.8520,1.1031,0.5291,-0.3288,1.267
1.8610,0.2159,-0.1944,0.8982,0.944
1.8860,0.0235,0.5490,-1.0400,1.176
1.9100,-0.6764,0.1342,-0.3708,0.783
1.9130,0.1590,0.3518,-0.3061,0.493
1.9150,0.5832,-0.3390,0.2984,0.738
1.9160,-0.5149,-0.7080,-1.1178,1.420
1.9230,-0.5793,-0.5140,-0.9969,1.262
1.9410,0.2913,0.4740,-0.0547,0.559
1.9410,0.2640,0.7537,-0.0643,0.801
1.9570,-0.1103,-0.0896,0.1057,0.177
1.9740,-0.4339,-0.8291,-0.5515,1.086
1.9750,0.2950,-0.5887,0.5474,0.856
1.9880,-0.1694,-0.2195,-0.8903,0.933
1.9940,0.3676,-0.0667,-0.7742,0.860
2.0010,0.4377,0.5345,-0.4367,0.817
2.0420,-0.1635,-0.4347,0.9890,1.093
2.0430,0.6628,-0.1235,-0.3613,0.765
2.0430,-0.0055,0.7494,0.2994,0.807
2.0440,0.0680,0.6405,0.0276,0.645
2.0580,0.3079,0.1373,-0.4548,0.566
2.0620,0.6429,-0.3690,-0.2369,0.778
2.0790,0.0984,-0.1574,0.7830,0.805
2.0830,0.7674,1.2334,0.3364,1.491
2.1010,0.3590,1.1865,0.2776,1.270
2.1040,0.6883,0.7153,-0.5436,1.132
2.1350,0.1899,-0.4381,-0.1664,0.506
2.1390,-0.3411,-0.2466,-1.0679,1.148
2.1410,0.0883,0.4609,-0.1796,0.503
2.1430,0.4801,0.6988,-0.3112,0.903
2.1530,0.1446,-0.3380,-0.5171,0.634
2.1610,-0.3790,-0.7732,-0.4021,0.950
2.1720,-0.5343,-0.5026,-0.6571,0.985
2.1810,0.7023,0.2942,0.1737,0.781
2.2070,-0.0430,0.2427,0.3712,0.446
2.2090,0.0599,-0.2283,0.4550,0.513
2.2120,-0.0897,-0.7047,-0.1926,0.736
2.2210,-0.1996,-0.3041,1.7215,1.759
2.2320,0.6848,0.3150,0.4920,0.900
2.2440,-0.0570,-0.2081,-0.6871,0.720
2.2510,-0.0856,-0.0032,-0.1975,0.215
2.2610,-0.3112,-0.1631,-0.9840,1.045
2.2820,0.4770,0.2773,-0.5375,0.770
2.2840,0.4886,0.7731,1.6196,1.860
2.3110,0.3999,0.7813,-1.3755,1.632
2.3120,-0.0749,-0.0392,-0.0000,0.085
2.3120,-0.4576,-0.7783,-0.8044,1.209
2.3200,-0.0913,0.1804,-0.2609,0.330
2.3320,0.2239,0.5545,-0.0574,0.601
2.3410,0.3508,0.6806,0.5280,0.930
2.3510,0.6742,0.2978,-0.1208,0.747
2.3610,-0.6207,-0.9591,0.2768,1.175
2.3760,-0.5149,-0.7129,-0.1590,0.894
2.3840,0.2297,0.0179,-0.3661,0.433
2.4190,0.2224,0.6270,-0.1818,0.690
