time,ax,ay,az,aT
0.0020,-0.3246,0.2748,0.1502,0.451
0.0090,0.6020,-0.1900,-0.3227,0.709
0.0190,0.9787,0.3258,0.0124,1.032
0.0270,0.6141,-0.4179,0.0471,0.744
0.0380,-0.3218,-0.6389,-0.4259,0.833
0.0470,-0.3607,0.1332,-0.1291,0.406
0.0640,0.5815,0.5988,0.5352,0.992
0.0750,0.3712,-0.3249,-1.1551,1.256
0.1010,-0.2175,-1.1527,-0.8715,1.461
0.1020,-0.4639,-0.8331,-1.5144,1.790
0.1020,0.5395,0.4670,2.7507,2.842
0.1100,0.0996,0.9725,0.3242,1.030
0.1200,-0.6767,-1.3892,-1.1316,1.915
0.1270,-0.3577,-1.1361,-0.6384,1.351
0.1430,0.1122,-0.6771,-0.2027,0.716
0.1470,0.5498,0.4398,0.7692,1.043
0.1770,0.8354,0.6252,0.9595,1.418
0.1800,1.3138,0.4920,-1.4671,2.030
0.1820,0.1389,-0.7834,0.1274,0.806
0.1890,-0.1397,-0.6622,-1.6061,1.743
0.2090,0.0360,0.6347,1.5482,1.674
0.2110,0.5971,1.0413,0.4241,1.273
0.2250,0.6007,-0.2616,0.3630,0.749
0.2400,-0.1975,-0.8390,-0.1542,0.876
0.2420,-1.0433,-0.5500,-0.5840,1.316
0.2590,-0.5618,0.7131,0.0577,0.910
0.2610,0.5157,0.7030,0.5329,1.022
0.2900,0.1992,-0.2685,1.2368,1.281
0.2910,-1.2177,-0.7333,-2.6753,3.029
0.2920,-1.2587,-0.8946,0.0481,1.545
0.3000,-0.1372,0.4360,0.5150,0.689
0.3100,0.2936,0.4948,0.7006,0.907
0.3190,0.8585,0.0190,0.9831,1.305
0.3280,-0.0955,-1.0286,0.1631,1.046
0.3540,-1.1984,-1.3636,-1.2112,2.182
0.3560,-0.3307,0.5873,0.2624,0.723
0.3590,1.3821,1.3115,0.3211,1.932
0.3680,0.1939,0.5395,1.1088,1.248
0.3850,-0.7177,-0.7546,-1.9139,2.179
0.3950,-0.7153,-0.7570,-1.9139,2.179
0.3990,0.0881,0.8988,0.6300,1.101
0.4080,0.5607,1.6418,0.0254,1.735
0.4190,0.6738,0.5121,-0.1589,0.861
0.4270,-0.1644,-0.7218,-0.6963,1.016
0.4500,-0.7065,-0.3587,-0.5958,0.991
0.4580,-0.6793,0.4207,-0.6089,1.005
0.4600,-0.2298,0.7143,0.2458,0.790
0.4920,0.1210,-0.2358,0.2998,0.400
0.4920,-0.4991,-0.9547,-0.0102,1.077
0.4930,-1.0855,-0.6875,-1.6395,2.083
0.4990,-1.1025,0.1364,-0.5548,1.242
0.5080,0.1488,1.3314,0.9704,1.654
0.5190,0.2400,-0.2023,-0.4492,0.548
0.5300,0.2019,-0.6048,-0.1128,0.647
0.5580,-0.4495,-0.2172,-0.3821,0.629
0.5620,-0.4965,0.2625,-0.9842,1.133
0.5650,-0.1483,1.2309,-0.5783,1.368
0.5690,1.1943,0.3271,-0.8343,1.493
0.5960,0.6833,-0.1502,1.0188,1.236
0.5970,-0.0400,0.6271,-1.7585,1.867
0.5980,-0.4654,0.4294,0.3688,0.733
0.6070,-0.3606,0.9146,0.8429,1.295
0.6190,0.2169,-0.2333,-1.0256,1.074
0.6270,-0.1601,-0.8914,-0.2822,0.949
0.6580,-0.2850,-0.4015,-0.8484,0.981
0.6610,-0.2800,0.4870,-0.7382,0.928
0.6640,0.5765,0.6688,0.8611,1.233
0.6670,0.3410,-0.7589,-0.0163,0.832
0.7050,-0.1684,-1.0069,-0.6555,1.213
0.7070,0.0992,-0.6057,-0.5586,0.830
0.7090,-0.1109,0.3682,-0.2043,0.435
0.7110,0.6031,0.6914,-0.0463,0.919
0.7190,1.0318,0.2466,-0.2175,1.083
0.7280,0.9336,-0.5163,0.3714,1.130
0.7560,-0.4539,-0.2606,-0.3626,0.637
0.7570,0.0135,0.9236,-1.6448,1.886
0.7590,0.8629,0.7833,0.5806,1.302
0.7670,0.8603,0.6853,0.0814,1.103
0.7780,0.1810,-0.5055,-0.8188,0.979
0.8150,-0.0165,-0.3433,1.5574,1.595
0.8160,0.4278,1.3482,-0.8010,1.625
0.8160,0.1913,1.0653,0.4895,1.188
0.8190,0.1765,0.1986,-0.3123,0.410
0.8280,-0.0640,-0.8864,-0.4882,1.014
0.8500,-0.7139,-0.0844,-0.7336,1.027
0.8520,0.1458,1.1926,0.7437,1.413
0.8610,0.7888,1.0865,-0.0403,1.343
0.8850,0.7038,-0.2988,0.6769,1.021
0.8860,-0.0226,-0.9950,-0.0854,0.999
0.8870,-0.1926,-0.7472,-1.2706,1.487
0.8990,0.1005,0.4433,1.1834,1.268
0.9090,0.6780,0.5439,-0.0914,0.874
0.9190,1.1023,0.3240,-0.8899,1.453
0.9270,0.3010,-0.7617,0.2690,0.862
0.9540,-0.2269,-0.6793,1.2626,1.452
0.9560,-0.2079,0.3424,0.3611,0.539
0.9960,0.8882,0.8317,-0.9821,1.564
1.0130,0.4841,-0.0306,-0.0255,0.486
1.0150,-0.1926,-0.4871,-0.6264,0.817
1.0160,-1.0787,-0.3251,-1.4118,1.806
1.0180,-0.1189,-0.1697,2.7158,2.724
1.0190,0.0984,0.6402,-1.2262,1.387
1.0200,-1.3789,-1.4930,-0.5379,2.102
1.0270,-0.1695,-1.0857,-0.9737,1.468
1.0440,-0.1165,0.1032,-0.5980,0.618
1.0470,0.1044,0.5805,0.8947,1.072
1.0800,0.8853,1.2476,0.3092,1.561
1.0810,0.7328,0.2135,0.3212,0.828
1.0820,-0.4976,-1.3940,-0.5263,1.571
1.0870,-0.4797,-0.3772,-0.4498,0.758
1.0990,0.2666,0.8267,-0.1122,0.876
1.1110,0.3560,0.7829,1.3267,1.581
1.1190,0.5231,0.3737,-1.1537,1.321
1.1300,-0.9896,-1.3296,-0.3001,1.684
1.1430,-1.0619,-0.7699,-0.2067,1.328
1.1480,-0.1937,0.4295,0.5533,0.727
1.1710,0.7397,0.7746,1.0597,1.507
1.1800,-0.1718,0.4957,-0.1170,0.538
1.1810,-1.3357,-1.4137,-1.8636,2.694
1.2050,-1.2638,-0.9487,-1.1621,1.962
1.2060,-0.3616,0.6355,0.2551,0.774
1.2070,0.1429,-0.1770,2.4673,2.478
1.2180,-0.4311,-0.8752,-0.3806,1.047
1.2270,-0.9917,-1.5625,-0.8176,2.023
1.2380,-0.8118,-1.3320,-0.7603,1.735
1.2480,-0.2499,0.4293,1.0520,1.163
1.2790,0.3043,0.8698,-0.6407,1.122
1.2810,-0.1893,-0.8327,-0.1391,0.865
1.2820,-0.9202,-1.2095,-0.7017,1.674
1.2880,-0.8902,-0.5113,-1.1936,1.574
1.3000,-0.0417,0.9067,0.2359,0.938
1.3120,0.5023,1.4284,0.7496,1.690
1.3190,1.0182,0.4335,0.0518,1.108
1.3320,0.2693,-0.1824,0.4684,0.570
1.3400,0.0213,0.0507,-2.1485,2.149
1.3610,-0.7312,0.2841,-0.8293,1.142
1.3640,0.2509,0.9394,0.2350,1.000
1.3680,0.9239,-0.5624,0.6840,1.280
1.4080,0.2600,0.8269,-3.0774,3.197
1.4090,-1.6194,-1.2125,-2.2167,3.001
1.4090,-1.3996,-0.7358,-0.6053,1.693
1.4100,-0.8551,0.3257,0.1539,0.928
1.4180,0.4711,-0.8897,-0.1702,1.021
1.4280,-0.4035,-0.7194,-0.4035,0.918
1.4630,-0.7362,-0.7409,-1.5537,1.872
1.4650,-0.3509,0.5964,-0.4305,0.815
1.4670,0.5627,1.5428,0.2521,1.661
1.4700,0.8586,-0.0992,0.0307,0.865
1.4980,0.8583,-0.1020,0.0307,0.865
1.5010,-0.8210,-0.7711,-1.0215,1.521
1.5020,-0.0458,0.8932,-0.6945,1.132
1.5130,0.7185,1.4966,0.1579,1.668
1.5180,0.5938,0.3967,0.1950,0.740
1.5300,0.0286,-0.4598,-0.6430,0.791
1.5400,-0.3957,-0.5329,0.4583,0.807
