time,ax,ay,az,aT
0.0090,1.5809,-0.6104,3.7975,4.158
0.0100,-0.8242,-1.3934,0.1212,1.623
0.0200,-1.2101,0.2236,-1.3094,1.797
0.0300,-0.9388,-0.2382,-1.0066,1.397
0.0400,0.7131,0.5219,0.8046,1.195
0.0560,0.7369,0.7009,1.5935,1.890
0.0570,-0.0817,0.8219,0.7232,1.098
0.0770,-0.1853,-0.5767,-2.9806,3.042
0.0780,-1.5026,-1.8856,-1.2389,2.711
0.0930,-1.1614,-2.3352,0.6657,2.692
0.0950,0.3131,2.3172,0.8872,2.501
0.1090,0.1816,2.2926,-1.7368,2.882
0.1280,0.1405,0.6287,0.0661,0.648
0.1290,0.1428,0.6152,0.0661,0.635
0.1440,-0.3928,-0.9172,0.6875,1.212
0.1640,0.5643,-1.0533,0.2087,1.213
0.1670,-0.3700,-1.2888,0.5235,1.439
0.1680,-1.3740,-0.4684,-1.1548,1.855
0.1820,-0.3945,2.2097,-1.9460,2.971
0.1970,0.1654,0.4600,-0.0102,0.489
0.2000,0.4959,0.9543,0.9703,1.448
0.2100,2.1774,1.7565,1.0672,2.994
0.2280,-0.0917,0.2673,-0.6567,0.715
0.2280,-0.1259,-0.3176,-3.0281,3.047
0.2440,-0.8835,-2.5749,-0.1646,2.727
0.2630,-0.7286,-2.0160,2.2739,3.125
0.2640,-0.4442,1.1063,-0.6507,1.358
0.2780,0.0008,1.1846,-1.1044,1.620
0.2780,-0.2704,-0.2533,-0.1359,0.395
0.2950,-0.0022,0.0886,0.0880,0.125
0.2970,0.9232,1.7559,0.3646,2.017
0.3110,0.0171,0.8239,0.2688,0.867
0.3280,-0.6234,-1.0896,-0.8911,1.540
0.3300,0.5310,-2.1115,-0.2016,2.187
0.3450,-1.0962,-0.6540,-1.7566,2.171
0.3480,-0.0916,-0.1230,-1.0335,1.045
0.3700,1.0196,2.2092,1.0291,2.642
0.3720,0.6737,0.7170,0.2880,1.025
0.3840,-0.4536,-0.6597,-1.2191,1.458
0.4000,0.2540,-1.4276,-1.3185,1.960
0.4040,0.8360,-2.8951,1.6814,3.451
0.4200,-1.9044,-0.1395,0.5943,2.000
0.4230,-0.2948,1.2029,-0.5452,1.353
0.4340,-0.7501,1.7061,-1.8692,2.640
0.4370,-0.4684,-0.1860,0.3263,0.600
0.4510,0.7470,1.7765,-0.4373,1.976
0.4680,1.0626,1.7801,-0.3200,2.098
0.4690,0.0975,-0.3358,0.2977,0.459
0.4850,-0.5339,-0.9847,-1.9576,2.255
0.5040,0.1458,-2.3034,0.1074,2.311
0.5050,-0.9778,-2.9656,0.7970,3.223
0.5190,-0.5367,2.0262,0.0668,2.097
0.5230,0.6824,2.8218,0.1662,2.908
0.5340,-0.8510,0.3388,-1.2655,1.562
0.5500,1.4575,0.1325,1.5860,2.158
0.5530,1.1792,1.3930,0.7552,1.975
0.5680,0.3963,0.4426,-1.8893,1.980
0.5840,-0.6580,-0.7740,-1.9288,2.180
0.5870,0.8920,-1.0578,2.1844,2.586
0.5890,-0.4814,-0.9394,-0.0291,1.056
0.6020,0.3040,0.3047,-0.7701,0.882
0.6200,0.5181,1.5662,-2.9429,3.374
0.6220,0.6650,1.4116,-0.9725,1.839
0.6350,0.4882,-1.0898,1.6037,1.999
0.6370,1.0333,-0.8514,1.9568,2.371
0.6510,0.5646,-2.0144,-1.7867,2.751
0.6560,-0.8056,-1.5873,0.8706,1.982
0.6720,-1.2711,0.2601,-1.1921,1.762
0.6750,-0.1000,2.5824,-0.6570,2.667
0.6880,0.8833,0.3808,0.3916,1.039
0.6950,1.0953,1.7323,0.2205,2.061
0.7070,1.2274,1.9274,0.6239,2.369
0.7150,-0.9606,-0.2686,-2.1054,2.330
0.7270,-0.4357,-1.1652,-2.6009,2.883
0.7390,-1.4767,-2.0214,1.7110,3.032
0.7460,0.6833,-2.1141,2.9488,3.692
0.7560,0.1849,1.7622,0.8250,1.955
0.7720,-0.9158,-0.2202,-0.1853,0.960
0.7760,-0.6963,-0.0236,-0.5516,0.889
0.8010,0.3703,-1.0912,0.2960,1.190
0.8030,1.4061,1.0410,1.2333,2.141
0.8070,0.3146,-0.6371,-2.0061,2.128
0.8190,-0.4794,-1.0612,-2.0792,2.383
0.8270,-1.6892,-0.8821,-0.4979,1.970
0.8370,-0.4340,1.8307,-0.8247,2.054
0.8470,0.8709,0.3308,1.4007,1.682
0.8590,0.1509,1.3486,-3.2332,3.506
0.8800,-0.6350,-1.0115,0.9687,1.538
0.8830,-0.0322,-0.4442,-0.1099,0.459
0.8900,0.3555,-1.1424,0.9615,1.535
0.8950,0.3279,-2.7561,-0.5241,2.825
0.9070,-0.5932,-0.2736,-0.1267,0.665
0.9150,-1.0612,1.1164,-1.1131,1.900
0.9270,-0.1999,2.2010,-1.4782,2.659
0.9390,-1.2418,-1.0675,0.7448,1.799
0.9470,0.8411,2.1844,-0.3564,2.368
0.9560,1.1148,1.4591,0.4804,1.898
0.9690,-0.3107,0.8916,-2.7985,2.953
0.9760,0.6369,-0.7137,-4.4325,4.534
0.9880,-3.1190,-1.6630,1.6501,3.901
1.0050,-0.3689,-0.3423,1.9243,1.989
1.0080,0.7641,2.3830,-0.8875,2.655
1.0140,-0.3201,0.7621,-1.4429,1.663
1.0270,-0.6852,-0.4911,-0.3772,0.924
1.0350,0.9939,1.1293,0.0994,1.508
1.0480,0.6762,-0.2846,0.6418,0.975
1.0590,0.8903,-0.1383,2.1789,2.358
1.0710,-0.5432,-2.5603,-2.3306,3.505
1.0760,-0.4164,1.0386,-0.0011,1.119
1.0880,-1.3347,-0.8635,0.3341,1.624
1.0960,1.8708,3.4961,0.3150,3.978
1.1060,0.4167,1.7172,-0.8688,1.969
